时间,商品名称,库存变化,单笔销量
2026-05-07 21:00:48,国际地址,初始销量: -47,47
2026-05-07 21:00:48,中国地址,初始销量: -5,5
2026-05-07 21:00:48,韩国地址,初始销量: -7,7
2026-05-07 21:00:48,日本地址,初始销量: -13,13
2026-05-07 21:07:22,韩国地址,-7->-12,5
2026-05-07 21:18:45,韩国地址,-12->-28,16
2026-05-07 21:31:19,韩国地址,-28->-31,3
2026-05-07 21:49:03,韩国地址,-31->-76,45
2026-05-07 22:05:37,韩国地址,-76->-83,7
2026-05-07 22:22:51,韩国地址,-83->-154,71
2026-05-07 22:40:13,韩国地址,-154->-161,7
2026-05-07 23:01:08,韩国地址,-161->-197,36
2026-05-07 23:18:26,韩国地址,-197->-212,15
2026-05-07 23:40:55,韩国地址,-212->-289,77
2026-05-07 23:57:40,韩国地址,-289->-301,12
2026-05-08 00:25:13,韩国地址,-301->-308,7
2026-05-08 01:48:36,韩国地址,-308->-313,5
2026-05-08 03:12:44,韩国地址,-313->-317,4
2026-05-08 05:05:22,韩国地址,-317->-322,5
2026-05-08 05:40:59,韩国地址,-322->-356,34
2026-05-08 06:12:37,韩国地址,-356->-389,33
2026-05-08 06:38:45,韩国地址,-389->-441,52
2026-05-08 07:04:11,韩国地址,-441->-446,5
2026-05-08 07:30:28,韩国地址,-446->-473,27
2026-05-08 07:55:43,韩国地址,-473->-526,53
2026-05-08 08:19:16,韩国地址,-526->-539,13
2026-05-08 08:47:22,韩国地址,-539->-567,28
2026-05-08 09:13:58,韩国地址,-567->-571,4
2026-05-08 09:35:40,韩国地址,-571->-593,22
2026-05-08 09:58:13,韩国地址,-593->-598,5
2026-05-08 10:22:49,韩国地址,-598->-603,5
2026-05-08 11:18:11,韩国地址,-603->-614,11
2026-05-08 11:28:47,韩国地址,-614->-615,1
2026-05-08 11:45:41,韩国地址,-615->-602,-13
2026-05-08 11:48:53,韩国地址,-602->-604,2
2026-05-08 12:06:52,韩国地址,-604->-606,2
2026-05-08 12:26:31,国际地址,-47->-34,-13
2026-05-08 12:29:43,中国地址,-5->-6,1
2026-05-08 12:32:52,中国地址,-6->-5,-1
2026-05-08 12:36:03,中国地址,-5->-6,1
2026-05-08 12:36:03,韩国地址,-606->-610,4
2026-05-08 12:41:23,韩国地址,-610->-611,1
2026-05-08 13:05:55,中国地址,-6->-8,2
2026-05-08 13:19:43,韩国地址,-611->-610,-1
2026-05-08 13:24:01,韩国地址,-610->-614,4
2026-05-08 13:45:32,中国地址,-8->-6,-2
2026-05-08 14:12:30,中国地址,-6->-9,3
2026-05-08 15:33:09,韩国地址,-614->-617,3
2026-05-08 15:42:35,韩国地址,-617->-647,30
2026-05-08 16:11:49,国际地址,-34->-73,39
